Label,Number,Company,Type,Zone,Task type,State,Commercial,Technique,Amount,% Réussite,Début,Proposition
14527 -  AT Admin syst,14527,EPICONCEPT,Infra,Paris,LPS | Assistance,Gagnée,CONTE,MAUDET,15000,100%,4/29/2016,4/29/2016
14528 -  SVA Sécure PGP lot 2,14528,BANQUE DE FRANCE,LinPKI,Paris,LGS l Service Forfait,Qualification,CONTE,MAUDET,20000,10%,4/29/2016,4/29/2016
14529 - Cadrage pour la réalisation d'un tableau de bord Oréon [UGAP],14529,CNMSS,Infra,GSE,LPS | Forfait,Signée,STAMBOULI,VALENTIN,3057.88,100%,4/29/2016,5/4/2016
14507 - Projet GLPI [ UGAP],14507,DGAC - DSNA - DTI,Infra,Paris,LPS | Assistance,Sans suite,CONTE,MAUDET,41000,0%,4/21/2016,4/29/2016
13741 -  OBM online 5 comptes,13741,FRANCESCHI FREDERIC - PARTICULIER,OBM,Paris,LGS l Souscription,Sans suite,BUCAN,BUCAN,100,0%,5/11/2015,5/12/2015
14252 - support Linshare 2016 (01/06-31/05),14252,OL GROUPE,LinShare,Paris,LGS l Souscription,Signée,STG_SIRIGU,MARTIN,1000,100%,3/1/2016,4/1/2016
14264 - Support Mondo Rescue 01/07-31/12 2016,14264,LANBASE,Support,Paris,LRS | Support,Signée,STG_SIRIGU,MAUDET,5000,100%,4/1/2016,6/1/2016
14266 - Support OBM 3 ans,14266,COMMUNAUTE DE COMMUNES DU BASSIN DE THAU,OBM,GSO,LGS l Souscription,Signée,DESCHUTTER,VALENTIN,4500,100%,4/1/2016,6/1/2016
14530 - synchronisation AD OpenLDAP,14530,ELEPHANT VERT,LinID,Paris,LGS l Service Assistance,Signée,BENHADDOU,MAUDET,6400,100%,5/1/2016,5/2/2016
13801 - OBM Online pour le Musée,13801,CNAM - CONSERVATOIRE NATIONAL DES ARTS ET METIER,OBM,Paris,LGS l Souscription,Signée,BOISSONNET,MAUDET,720,100%,6/1/2015,6/1/2015
14287 - Refonte du site web,14287,MAIRIE DE CHATOU,Studio,Paris,LPS | Forfait,Sans suite,BOSSHARD,MOUTON,1000,0%,1/6/2016,9/19/2016
14531 - AO GPSA WebSSO,14531,INOLIANS,LinID,Paris,LGS l Service Forfait,Négociation,CONTE,MAUDET,198000,30%,4/20/2016,6/6/2016
20185 - SGSEP Rosie - Réversibilité,20185,MINEFI SLL 2012,Studio,Paris,LPS | Forfait,Signée,CAMICAS,CAMICAS,16245,100%,4/19/2016,4/25/2016
14533 - Formation PKI EJBCA,14533,VAELIA,Formation,Paris,LTS | Intra,Gagnée,OBREMSKI,OBREMSKI,2500,100%,5/2/2016,5/2/2016
14534 - AMOE projets informatique,14534,SERVICE DES ACHATS DE L'ETAT,Développement,Paris,LPS | Assistance,Sans suite,VASSILIEFF,MAUDET,1,0%,5/2/2016,5/27/2016
14535 - AT Mail OBM,14535,ECOLE NAT. VETERINAIRE DE TOULOUSE,OBM,Paris,LGS l Service Assistance,Signée,CONTE,MAUDET,1575,100%,5/2/2016,5/2/2016
14536 - 25 comptes OBM Online,14536,TTRAM,OBM,Paris,LGS l Souscription,Gagnée,BENHADDOU,MAUDET,540,100%,5/2/2016,5/2/2016
14537 - 25 comptes OBM Online,14537,TTRAM,OBM,Paris,LGS l Souscription,Gagnée,BENHADDOU,MAUDET,540,100%,5/2/2016,5/2/2016
14538 -  Securisation de Firefox,14538,STIME - GROUPEMENT DES MOUSQUETAIRES/DIRECTION TECHNIQUE,Infra,Paris,LPS | Assistance,Sans suite,CONTE,MAUDET,2850,0%,5/2/2016,5/20/2016
20184 - Mise en place Ansible,20184,MINEFI SLL 2012,Infra,Paris,LPS | Forfait,Sans suite,DANIEL,MAUDET,9340.88,0%,5/2/2016,5/4/2016
14539 - une journée de formation websso,14539,BIBILOTHEQUE PUBLIQUE D'INFORMATION (BPI),LinID,Paris,LGS l Service Assistance,Signée,CONTE,MAUDET,1400,100%,5/3/2016,5/3/2016
14540 - Etude 1 lot 3 WS,14540,EDF - DIRECTION DES ACHATS,Infra,Paris,LPS | Assistance,Perdue,CONTE,MAUDET,120000,0%,5/3/2016,5/3/2016
14332 - Urbanisation SI / Petals,14332,VALENCE AGGLO SUD RHONE-ALPES,Petals,Paris,LGS l Souscription,Qualification,BOSSHARD,MAUDET,1000,1%,1/25/2016,3/24/2016
